"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C100JA3GNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200201(0603%20Metric).jpg","1276-1384-1-ND","CL03C100JA3GNNC","Samsung Electro-Mechanics America, Inc","CAP CER 10PF 25V 5% NP0 0201",30790,0,"0.10000",1,1,"Cut Tape (CT)","CL","10pF","25V","±5ppm","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/UMK212F105ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0805%20Series%20M%20Thick%201.25.jpg","587-1308-2-ND","UMK212F105ZG-T","Taiyo Yuden","CAP CER 1UF 50V Y5V 0805",102000,0,"0.01602",0,3000,"Tape & Reel (TR)","M","1.0µF","50V","-20%, +80","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/UMK212F105ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0805%20Series%20M%20Thick%201.25.jpg","587-1308-1-ND","UMK212F105ZG-T","Taiyo Yuden","CAP CER 1UF 50V Y5V 0805",105570,0,"0.10000",0,1,"Cut Tape (CT)","M","1.0µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/UMK212F105ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0805%20Series%20M%20Thick%201.25.jpg","587-1308-6-ND","UMK212F105ZG-T","Taiyo Yuden","CAP CER 1UF 50V Y5V 0805",105570,0,"Calculate",0,1,"Digi-Reel®","M","1.0µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf","http://media.digikey.com/Renders/Yageo%20Renders/0805%2812%5E5mm%20thickness%29.jpg","311-1355-2-ND","CC0805ZKY5V6BB106","Yageo","CAP CER 10UF 10V Y5V 0805",111000,0,"0.02107",0,3000,"Tape & Reel (TR)","CC","10µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.049"" (1.25mm)","-","-","-"
"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf","http://media.digikey.com/Renders/Yageo%20Renders/0805%2812%5E5mm%20thickness%29.jpg","311-1355-1-ND","CC0805ZKY5V6BB106","Yageo","CAP CER 10UF 10V Y5V 0805",122223,0,"0.13000",0,1,"Cut Tape (CT)","CC","10µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.049"" (1.25mm)","-","-","-"
"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf","http://media.digikey.com/Renders/Yageo%20Renders/0805%2812%5E5mm%20thickness%29.jpg","311-1355-6-ND","CC0805ZKY5V6BB106","Yageo","CAP CER 10UF 10V Y5V 0805",122223,0,"Calculate",0,1,"Digi-Reel®","CC","10µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.049"" (1.25mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/LMK212F106ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0805%20Series%20M%20Thick%201.25.jpg","587-1312-2-ND","LMK212F106ZG-T","Taiyo Yuden","CAP CER 10UF 10V Y5V 0805",126000,0,"0.02640",0,3000,"Tape & Reel (TR)","M","10µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/LMK212F106ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0805%20Series%20M%20Thick%201.25.jpg","587-1312-1-ND","LMK212F106ZG-T","Taiyo Yuden","CAP CER 10UF 10V Y5V 0805",128993,0,"0.17000",0,1,"Cut Tape (CT)","M","10µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/LMK212F106ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0805%20Series%20M%20Thick%201.25.jpg","587-1312-6-ND","LMK212F106ZG-T","Taiyo Yuden","CAP CER 10UF 10V Y5V 0805",128968,0,"Calculate",0,1,"Digi-Reel®","M","10µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.vishay.com/docs/45171/kseries.pdf","http://media.digikey.com/Photos/Vishay%20BC%20Photos/K10X7RF5UH5.jpg","BC1160TR-ND","K104Z15Y5VF5TL2","Vishay BC Components","CAP CER 0.1UF 50V RADIAL",80000,0,"0.02531",0,4000,"Tape & Reel (TR)","Mono-Kap™","0.1µF","50V","-20%, +80%","Y5V (F)","Through Hole","-30°C ~ 85°C","General Purpose","-","Radial","0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.220"" (5.58mm)","-","0.098"" (2.50mm)","-","Straight"
"http://www.vishay.com/docs/45171/kseries.pdf","http://media.digikey.com/Photos/Vishay%20BC%20Photos/K10X7RF5UH5.jpg","BC1160CT-ND","K104Z15Y5VF5TL2","Vishay BC Components","CAP CER 0.1UF 50V RADIAL",83344,0,"0.35000",0,1,"Cut Tape (CT)","Mono-Kap™","0.1µF","50V","-20%, +80%","Y5V (F)","Through Hole","-30°C ~ 85°C","General Purpose","-","Radial","0.157"" L x 0.098"" W (4.00mm x 2.50mm)","0.220"" (5.58mm)","-","0.098"" (2.50mm)","-","Straight"
"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf","http://media.digikey.com/Renders/Yageo%20Renders/1206%281%5E60mm%20thickness%29.jpg","311-1376-2-ND","CC1206ZKY5V7BB106","Yageo","CAP CER 10UF 16V Y5V 1206",183000,0,"0.02770",0,3000,"Tape & Reel (TR)","CC","10µF","16V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf","http://media.digikey.com/Renders/Yageo%20Renders/1206%281%5E60mm%20thickness%29.jpg","311-1376-1-ND","CC1206ZKY5V7BB106","Yageo","CAP CER 10UF 16V Y5V 1206",185452,0,"0.17000",0,1,"Cut Tape (CT)","CC","10µF","16V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_5.pdf","http://media.digikey.com/Renders/Yageo%20Renders/1206%281%5E60mm%20thickness%29.jpg","311-1376-6-ND","CC1206ZKY5V7BB106","Yageo","CAP CER 10UF 16V Y5V 1206",185452,0,"Calculate",0,1,"Digi-Reel®","CC","10µF","16V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/GMK316F475ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/M%20Series%201206%20(Thick%2012.5).jpg","587-2254-2-ND","GMK316F475ZG-T","Taiyo Yuden","CAP CER 4.7UF 35V Y5V 1206",102000,0,"0.03534",0,3000,"Tape & Reel (TR)","M","4.7µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/GMK316F475ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/M%20Series%201206%20(Thick%2012.5).jpg","587-2254-1-ND","GMK316F475ZG-T","Taiyo Yuden","CAP CER 4.7UF 35V Y5V 1206",102442,0,"0.20000",0,1,"Cut Tape (CT)","M","4.7µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/GMK316F475ZG-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/M%20Series%201206%20(Thick%2012.5).jpg","587-2254-6-ND","GMK316F475ZG-T","Taiyo Yuden","CAP CER 4.7UF 35V Y5V 1206",102442,0,"Calculate",0,1,"Digi-Reel®","M","4.7µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.053"" (1.35mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/TMK316F106ZL-T.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1353-2-ND","TMK316F106ZL-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1206",88000,0,"0.04073",0,2000,"Tape & Reel (TR)","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/TMK316F106ZL-T.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1353-1-ND","TMK316F106ZL-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1206",89050,0,"0.23000",0,1,"Cut Tape (CT)","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/TMK316F106ZL-T.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1353-6-ND","TMK316F106ZL-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1206",89100,0,"Calculate",0,1,"Digi-Reel®","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/LMK316F226ZL-T.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1356-2-ND","LMK316F226ZL-T","Taiyo Yuden","CAP CER 22UF 10V Y5V 1206",96000,0,"0.07206",0,2000,"Tape & Reel (TR)","M","22µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/LMK316F226ZL-T.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1356-1-ND","LMK316F226ZL-T","Taiyo Yuden","CAP CER 22UF 10V Y5V 1206",100890,0,"0.34000",0,1,"Cut Tape (CT)","M","22µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/LMK316F226ZL-T.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1356-6-ND","LMK316F226ZL-T","Taiyo Yuden","CAP CER 22UF 10V Y5V 1206",100890,0,"Calculate",0,1,"Digi-Reel®","M","22µF","10V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/GMK316F106ZL-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/M%20Series%201206%20(Thick%2012.5).jpg","587-1352-2-ND","GMK316F106ZL-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1206",314000,0,"0.05672",0,2000,"Tape & Reel (TR)","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/GMK316F106ZL-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/M%20Series%201206%20(Thick%2012.5).jpg","587-1352-1-ND","GMK316F106ZL-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1206",315856,0,"0.31000",0,1,"Cut Tape (CT)","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/or/product/category/capacitor/GMK316F106ZL-T.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/M%20Series%201206%20(Thick%2012.5).jpg","587-1352-6-ND","GMK316F106ZL-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1206",315856,0,"Calculate",0,1,"Digi-Reel®","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.071"" (1.80mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1393-2-ND","TMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1210",62000,0,"0.06236",0,2000,"Tape & Reel (TR)","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1393-1-ND","TMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1210",64163,0,"0.30000",0,1,"Cut Tape (CT)","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1393-6-ND","TMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 25V Y5V 1210",64163,0,"Calculate",0,1,"Digi-Reel®","M","10µF","25V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210%20Pkg.jpg","587-1389-2-ND","UMK325F475ZH-T","Taiyo Yuden","CAP CER 4.7UF 50V Y5V 1210",98000,0,"0.07725",0,2000,"Tape & Reel (TR)","M","4.7µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210%20Pkg.jpg","587-1389-1-ND","UMK325F475ZH-T","Taiyo Yuden","CAP CER 4.7UF 50V Y5V 1210",100158,0,"0.38000",0,1,"Cut Tape (CT)","M","4.7µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/Renders/Taiyo%20Yuden%20Renders/1210%20Pkg.jpg","587-1389-6-ND","UMK325F475ZH-T","Taiyo Yuden","CAP CER 4.7UF 50V Y5V 1210",100158,0,"Calculate",0,1,"Digi-Reel®","M","4.7µF","50V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1391-2-ND","GMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1210",130000,0,"0.09383",0,2000,"Tape & Reel (TR)","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1391-1-ND","GMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1210",130978,0,"0.42000",0,1,"Cut Tape (CT)","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
"http://www.yuden.co.jp/productdata/catalog/en/mlcc101_e.pdf","http://media.digikey.com/renders/Taiyo%20Yuden%20Renders/0402%20(MK105).jpg","587-1391-6-ND","GMK325F106ZH-T","Taiyo Yuden","CAP CER 10UF 35V Y5V 1210",130978,0,"Calculate",0,1,"Digi-Reel®","M","10µF","35V","-20%, +80%","Y5V (F)","Surface Mount, MLCC","-30°C ~ 85°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.063"" (1.60mm)","-","-","-"
